id,x,y,z,yaw,pitch,roll
1,1717.09,1014.57,0.389026,-2.19124,-0.0381627,0.0241335
2,1716.9,1014.28,0.284651,-2.19216,-0.0278111,0.0186211
3,1716.7,1014.01,0.25351,-2.19393,-0.0219968,0.0134185
4,1716.47,1013.69,0.269512,-2.19352,-0.017068,0.00558623
5,1716.27,1013.39,0.12989,-2.19379,-0.0131774,0.00776282
6,1716.09,1013.12,0.17612,-2.19588,-0.0167027,0.0112625
7,1715.88,1012.81,0.188871,-2.19702,-0.0185398,0.014841
8,1715.66,1012.52,0.233502,-2.19778,-0.0216555,0.0143678
9,1715.43,1012.25,0.309665,-2.19844,-0.0213686,0.00968805
10,1715.22,1011.98,0.302822,-2.19851,-0.0222403,0.00868916
11,1715,1011.71,0.327638,-2.19961,-0.0237766,0.00862803
12,1714.78,1011.4,0.340173,-2.20076,-0.0275238,0.0109671
13,1714.57,1011.11,0.33555,-2.20176,-0.0279065,0.0108882
14,1714.37,1010.84,0.336329,-2.2024,-0.0264923,0.00962618
15,1714.15,1010.55,0.332104,-2.20368,-0.028069,0.00822876
16,1713.96,1010.29,0.349566,-2.20432,-0.0263421,0.00957909
17,1713.75,1009.99,0.308012,-2.20309,-0.0182707,0.00393272
18,1713.55,1009.72,0.310943,-2.20356,-0.0182496,0.00332781
19,1713.33,1009.43,0.320268,-2.20424,-0.0187607,0.0035678
20,1713.14,1009.18,0.314114,-2.20528,-0.019265,0.00275194
21,1712.93,1008.89,0.279992,-2.20524,-0.0186517,0.00398751
22,1712.72,1008.61,0.287529,-2.20551,-0.0184428,0.00279347
23,1712.52,1008.34,0.281811,-2.20624,-0.0206346,0.00345093
24,1712.3,1008.04,0.288121,-2.20569,-0.0205969,0.00318996
25,1712.1,1007.77,0.266142,-2.20651,-0.0223985,0.00398053
26,1711.9,1007.5,0.23511,-2.2066,-0.021863,0.00418468
27,1711.7,1007.22,0.209054,-2.20746,-0.0236756,0.00572566
28,1711.5,1006.96,0.22332,-2.20724,-0.0233202,0.0041232
29,1711.3,1006.7,0.260743,-2.20745,-0.0232056,0.00274106
30,1711.09,1006.43,0.281047,-2.20702,-0.0237989,0.00207435
31,1710.92,1006.21,0.265935,-2.20742,-0.0245659,0.00324723
32,1710.72,1005.94,0.264453,-2.20698,-0.0256423,0.00255932
33,1710.51,1005.67,0.295767,-2.20614,-0.0242783,0.000435842
34,1710.33,1005.43,0.304195,-2.20603,-0.0242814,-4.60392e-05
35,1710.12,1005.14,0.241561,-2.20358,-0.0221365,-0.00308176
36,1709.93,1004.9,0.252646,-2.20241,-0.0209526,-0.00549329
37,1709.78,1004.68,0.239254,-2.20198,-0.0212991,-0.00563392
38,1709.55,1004.37,0.233986,-2.19991,-0.0217949,-0.00455442
39,1709.36,1004.11,0.24262,-2.19826,-0.0218601,-0.00542475
