id,x,y,z,yaw,pitch,roll
1,1717.09,1014.57,0,-2.19125,-0.0381233,0.0241726
2,1716.9,1014.28,0,-2.19211,-0.0280552,0.017737
3,1716.7,1014.01,0,-2.19391,-0.0219943,0.0134159
4,1716.47,1013.7,0,-2.19357,-0.0171849,0.00566789
5,1716.27,1013.39,0,-2.19378,-0.0131802,0.00769381
6,1716.09,1013.12,0,-2.1959,-0.0165133,0.011044
7,1715.88,1012.81,0,-2.19703,-0.0185302,0.014795
8,1715.66,1012.52,0,-2.1978,-0.0216393,0.0146648
9,1715.43,1012.25,0,-2.19844,-0.0213651,0.00969687
10,1715.22,1011.98,0,-2.19851,-0.0222427,0.00868988
11,1715,1011.71,0,-2.19956,-0.023902,0.00867178
12,1714.78,1011.4,0,-2.20075,-0.027525,0.0109768
13,1714.57,1011.11,0,-2.20178,-0.0279005,0.0108774
14,1714.37,1010.84,0,-2.20239,-0.0264991,0.00963158
15,1714.15,1010.55,0,-2.20359,-0.0281163,0.00813824
16,1713.96,1010.29,0,-2.20426,-0.0263671,0.00953141
17,1713.75,1009.99,0,-2.20307,-0.0182613,0.00395854
18,1713.55,1009.72,0,-2.20355,-0.0181689,0.00347733
19,1713.33,1009.43,0,-2.20422,-0.0187785,0.00358394
20,1713.14,1009.18,0,-2.20526,-0.0192676,0.00276421
21,1712.93,1008.89,0,-2.20524,-0.018648,0.00398933
22,1712.72,1008.61,0,-2.2055,-0.0184452,0.00278763
23,1712.52,1008.34,0,-2.20624,-0.0206361,0.00345143
24,1712.3,1008.04,0,-2.20569,-0.0205997,0.00318581
25,1712.1,1007.77,0,-2.2065,-0.0224071,0.00399015
26,1711.9,1007.5,0,-2.20659,-0.0218632,0.00418353
27,1711.7,1007.22,0,-2.20747,-0.0236713,0.00570804
28,1711.49,1006.96,0,-2.20713,-0.0232823,0.00405512
29,1711.32,1006.73,0,-2.20828,-0.0238085,0.00406571
30,1711.17,1006.54,0,-2.20931,-0.0237363,0.00297944
31,1710.92,1006.21,0,-2.20739,-0.0245834,0.00324036
32,1710.72,1005.94,0,-2.2069,-0.0256849,0.00264062
33,1710.5,1005.65,0,-2.20595,-0.0249517,0.00118289
34,1710.33,1005.43,0,-2.20603,-0.0242793,-5.01598e-05
35,1710.11,1005.14,0,-2.20357,-0.0221361,-0.00304317
36,1709.93,1004.9,0,-2.20237,-0.0209359,-0.00552373
37,1709.73,1004.62,0,-2.20079,-0.0214456,-0.00520247
38,1709.55,1004.36,0,-2.19991,-0.0218079,-0.00451303
39,1709.36,1004.11,0,-2.19831,-0.0218864,-0.0054708
40,1709.19,1003.89,0,-2.19752,-0.0229753,-0.00560121
41,1708.98,1003.59,0,-2.19574,-0.0232515,-0.00370038
42,1708.62,1003.11,0,-2.1928,-0.0254377,-0.0047753
43,1708.45,1002.87,0,-2.19183,-0.0259671,-0.00464077
44,1708.27,1002.63,0,-2.18904,-0.0251375,-0.00550927
45,1708.06,1002.34,0,-2.1872,-0.0244079,-0.00822793
46,1707.9,1002.12,0,-2.18486,-0.0229434,-0.00852854
47,1707.75,1001.87,0,-2.18185,-0.0119659,-0.00958943
48,1707.6,1001.65,0,-2.17967,-0.0128872,-0.00812915
49,1707.46,1001.46,0,-2.17988,-0.0139163,-0.00880926
50,1707.25,1001.17,0,-2.17706,-0.0145269,-0.00701527
51,1707.13,1001,0,-2.17666,-0.0147112,-0.00709854
52,1706.99,1000.77,0,-2.17416,-0.0142059,-0.00484454
53,1706.8,1000.5,0,-2.17154,-0.0143845,-0.00525556
54,1706.65,1000.28,0,-2.16888,-0.0148517,-0.00415293
